Documento,Titolo programma,Titolo sequenza/servizio,Canale Trasmissione,Data Trasmissione,Durata,Contenuto Audio,Contenuto Video,ID Notice,Note,Time Start,Time Stop
8,Tg1 edizione 13 30,Scontro in FI,RAI UNO,2015-05-04 00:00:00,00:01:09:00,Tensioni nel partito Forza Italia (FI) anche in relazione alle candidature alla presidenza della regione Puglia per le elezioni regionali previste per il 31 maggio 2015.,"Grimaldi lancia servizio. 5 aprile 2015. Olbia, Sardegna, Italia, veduta aerea di Villa Certosa, residenza estiva del presidente del partito Forza Italia (FI) Silvio Berlusconi ; dettaglio articolo di giornale con dichiarazioni di Berlusconi. Repertorio, Berlusconi cammina in strada insieme alla compagna Francesca Pascale; europarlamentare di FI Raffaele Fitto parla al telefono seduto dietro scrivania e parla in piedi da un palco con accanto candidato alla presidenza della regione Puglia Francesco Schittulli.",T15095/105,,,
2,Tg1 edizione 13 30,Attesa per il QE,RAI UNO,2015-08-03 00:00:00,00:01:28:00,"Attesa per il piano finanziario di acquisti di titoli di Stato da parte della Banca Centrale Europea (BCE), detto quantitative easing (QE) per rilanciare l' economia dell' Eurozona che partirà il 10 marzo 2015; effetti dell' operazione sui mercati finanziari.","Anzaldo lancia servizio. Repertorio: fasi conio di monete Euro; dettagli mani che contano banconote Euro; persone effettuano acquisti in un mercato, camminano in strada. Francoforte, Germania, esterni sede della Banca Centrale Europea (BCE). Cartelli grafici inerenti gli effetti politici, economici e valutari del quantitative easing (QE).",T15067/105,,,
6,Tg1 edizione 13 30,Renzi a Coverciano,RAI UNO,2016-05-06 00:00:00,00:01:53:22,Visita del presidente del Consiglio Matteo Renzi nel ritiro della nazionale italiana di calcio a Coverciano. Probabili formazioni che saranno schierate dal Commissario Tecnico Antonio Conte durante le partite dei Campionati Europei di Calcio 2016.,"Nalesso lancia servizio. 5 giugno 2016. Coverciano, Firenze, Toscana, Italia. Fotografie del presidente del Consiglio Matteo Renzi con Commissario Tecnico Italia Antonio Conte. Momenti allenamento calcio Italia. Intervista a calciatore Zaza. Repertorio. Fasi partite calcio Italia.",T16157/105,,,
10,Tg1 edizione 13 30,Dibattito tra le forze politiche di centrodestra,RAI UNO,2017-05-03 00:00:00,00:01:44:24,"Dichiarazioni del presidente del partito Forza Italia (FI) Silvio Berlusconi in merito alla mozione di sfiducia presentata in parlamento dal Movimento Cinque Stelle (M5S) contro il ministro per lo Sport, Luca Lotti. Discussione sulle possibili alleanze tra le forze politiche di centrodestra.","Soave lancia servizio. 5 marzo 2017. Italia. Intervista a senatore del gruppo parlamentare Area Popolare (Ncd-Centristi per l'Europa), Casini. Dettaglio articoli di giornale. Repertorio. Presidente partito Forza Italia (FI) Silvio Berlusconi cammina in esterni, tiene discorso su palco con segretario federale movimento Lega Nord Matteo Salvini e presidente del movimento Fratelli d’ Italia – Alleanza Nazionale (FdI AN) Giorgia Meloni.",T17064/105,,,
4,Tg1 edizione 13 30,"Liste europee, ultimi giorni",RAI UNO,13/04/2014,00:01:34:20,"Ultimi giorni per la composizione delle liste elettorali per le elezioni europee del 25 maggio 2014, il rinnovamento deciso dal segretario Partito Democratico. Il partito Forza Italia a lavoro per la realizzazione delle liste elettorali tra i malumori interni.","Zucchini lancia servizio. 13 aprile 2014. Italia, intervistati deputato Partito Democratico (PD) Fregolent e senatore partito Forza Italia (FI) Gasparri. Repertorio, conferenza stampa del presidente FI Silvio Berlusconi. Interviste separate a consigliere politico di Berlusconi Giovanni Toti e a senatore FI Paolo Bonaiuti. Arcore, Monza e Brianza, Lombardia, Italia. Esterni Villa San Martino, residenza privata di Berlusconi.",T14103/105,,,
9,Tg1 edizione 13 30,L' attacco informatico con virus Wannacry,RAI UNO,14/05/2017,00:01:40:17,"Bilancio dei disagi e dei danni economici provocati dall'attacco informatico avvenuto il 12 maggio 2017 tramite la diffusione del virus informatico ""Wannacry"" nei sistemi informatici di circa cento Paesi. Possibilità di nuovi attacchi. Alfabetizzazione Digitale Manzi.","Soave lancia servizio. Maggio 2017. L' Aia, Olanda. Esterni sede ufficio europeo di polizia (Europol). Località varie. Dettaglio pagina sito internet del blog ""Malware Tech"" dell'esperto informatico che ha individuato e bloccato temporaneamente il virus informatico ""Wannacry"". Profilo su sito informatico Twitter ""Malware tech"". Repertorio. Località varie. Interni uffici, impiegati al lavoro. Dettagli monitor di computer e cavi di alimentazione.",T17134/105,,,
13,Tg1 edizione 13 30,Aggiornamenti calcio,RAI UNO,14/05/2017,00:01:30:08,"Attesa per la partita di calcio valida per la XXXVII giornata di campionato di serie A Roma Juventus, in caso di pareggio o vittoria la Juventus si aggiudicherebbe il campionato. Risultato dell' anticipo della XXXVII serie A Atalanta Milan 1 - 1 risultato che garantisce la matematica qualificazione alla competizione Europa League all' Atalanta. Risultato della partita valida per l' anticipo della XLI giornata del campionato di Serie B Ternana Spal 2 - 1, promozione in serie A per la Spal.","Soave lancia servizio. 13 maggio 2017. Bergamo, Lombardia, Italia. Fasi partita di calcio Atalanta Milan. Terni, Umbria, Italia. Fasi partita di calcio Ternana Spal. Ferrara, Emilia Romagna, Italia. Tifosi Spal festeggiano. Repertorio anche in bianco e nero partite giocate da Spal, Juventus e Roma.",T17134/105,,,
3,Tg1 edizione 13 30,La legge di stabilità 2017,RAI UNO,14/08/2016,00:01:34:00,Provvedimenti allo studio del governo da inserire nella legge di Stabilità 2017.,"Frittella lancia servizio. Agosto 2016. Italia. Traffico scorre su strade. Persone lavorano in cantieri e industrie. Ministro delle Infrastrutture e Trasporti Graziano Delrio in esterni. Conferenza stampa congiunta del presidente del Consiglio Matteo Renzi e del ministro dell' Economia e Finanza Pier Carlo Padoan. Interviste separate a viceministro dell' Economia Enrico Morando, al ministro dello sviluppo economico Carlo Calenda e al sottosegretario agli Affari Europei Sandro Gozi. Riprese aeree spiagge. Repertorio. Incontro di Renzi con il cancelliere federale della Germania Angela Merkel e il presidente Francese Francois Hollande.",T16227/105,,,
5,Tg1 edizione 13 30,Stallo diplomatico,RAI UNO,16/03/2014,00:01:11:23,"La posizione dell'Onu in merito alla crisi in Crimea, polemiche contro le azioni militari della Russia in Crimea e rischio di sanzioni alla Russia da parte degli stati dell'Unione Europea.","16 marzo 2014. New York, USA, interni sede ONU, fasi della riunione del Consiglio di Sicurezza ONU, Intervento dell'Ambasciatrice USA all'ONU Power. Repertorio, Crimea, Ucraina, presidi militari, persone manifestano in strada sventolando bandiera russa, strade e quartieri devastati dalla guerriglia.",T14075/105,,,
14,Tg1 edizione 13 30,Le candidature alle amministrative,RAI UNO,21/02/2016,00:01:33:00,Dibattito sui candidati che saranno presentati dalle varie forze politiche alle elezioni amministrative comunali di Roma e Milano.,"Grimaldi lancia servizio. 21 febbraio 2016. Roma, Lazio, Italia. Convegno organizzato dal partito Sinistra Italia - Sinistra Ecologia Libertà (SI - SEL), videomessaggio del presidente SEL Vendola. Discorso dell' europarlamentare del gruppo Socialisti e dei Democratici al Parlamento europeo Sergio Cofferati. Intervista a segretario del movimento Possibile Giuseppe Civati. Intervista a presidente movimento Fratelli d’ Italia – Alleanza Nazionale (FdI AN) Meloni. Dettaglio messaggio pubblicato su sito informatico Facebook dal vicesegretario del Partito Democratico (PD) Lorenzo Guerini. Milano, Lombardia, Italia. Sindaco Giuliano Pisapia cammina in interni. Repertorio. Interventi del candidato sindaco di Roma del partito Forza Italia (FI) Guido Bertolaso. Presidente FI Silvio Berlusconi cammina in interni.",T16052/105,,,
12,Tg1 edizione 13 30,Attentato sul treno Amsterdam - Parigi,RAI UNO,23/08/2015,00:01:42:00,Annunciato rafforzamento delle misure antiterrorismo dal governo francese in seguito all'attentato terroristico di matrice islamica compiuto il 21 agosto 2015 dal marocchino Ayoub El Khazzani sul treno diretto da Amsterdam (Olanda) a Parigi.,"Grimaldi lancia servizio. 23 agosto 2015. Parigi, Francia. Il giornalista Di Bella parla in piedi davanti a edicola. 22. Agosto 2015. Francia. Esterni ospedale, il pilota militare Spencer Stone esce dall'edificio con medicazione al braccio. 21 agosto 2015. Arras, Francia. Sequenze tratte da video amatoriale mostrano uomo ferito in seguito a attentato di matrice islamica compiuto in treno dal marocchino Ayoub El Khazzani, l'attentatore immobilizzato sul pavimento del treno. Fotografie di passeggeri che hanno immobilizzato El Khazzani, tra cui Stone. Repertorio. Località varie. Dettaglio monitor di computer mostra pagina personale dell'attentatore Ayoub El Khazzani sul sito internet ""facebook"". Fotografie di El Khazzani. Carta geografica dell'Europa mostra spostamenti di El Khazzani. Algésiras, Spagna. Esterni abitazione di El Khazzani. Francia. Esterni edifici, agenti di polizia presidiano strade.",T15235/105,,,
7,Tg1 edizione 13 30,La Legge di Stabilità promossa dall' UE,RAI UNO,23/11/2014,00:01:25:00,Previsto il 25 novembre 2014 il giudizio della Commissione Europea sulla Legge di Stabilità. Previsto stanziamento di fondi da parte dell' Unione Europea per i progetti proposti dai paesi membri.,"Zucchini lancia servizio. Repertorio: Bruxelles, Belgio, esterni palazzo della Commissione dell' Unione Europea (UE). Ministro dell’ Economia e Finanze Pier Carlo Padoan scende da auto; presidente del Consiglio Matteo Renzi parla con presidente della Francia François Hollande; presidente della Commissione Europea Jean-Claude Juncker cammina con in mano alcuni documenti. Fasi stampa di banconote Euro.",T14327/105,,,
11,Tg1 edizione 13 30,"""Quantitative easing"" della BCE",RAI UNO,25/01/2015,00:01:39:00,"Dichiarazioni del ministro Economia e Finanze italiano e del presidente della Banca centrale tedesca (Bundesbank) Jens Weidmann sul piano della Banca Centrale Europea (BCE) detto ""Quantitative Easing"" (QE) che prevede l' acquisto di titoli di Stato di paesi dell' Unione Europea al fine di aumentare la liquidità delle banche ed evitare speculazioni monetarie sulla valuta Euro.","Anzaldo lancia servizio. 25 gennaio 2015. Dettagli articolo di giornale che riporta dichiarazioni del ministro Economia e Finanze Pier Carlo Padoan sul piano finanziario della Banca Centrale Europea (BCE). Repertorio: Francoforte, Germania,. Esterni interni sede BCE. Località varie, fasi stampa banconote Euro. Padoan cammina in interni. Operatori finanziari lavorano al computer.",T15025/105,,,
1,Tg1 edizione 13 30,Naufragio davanti alla Libia,RAI UNO,25/10/2015,00:01:23:00,Dati riguardo il flusso di migranti nel Canale di Sicilia e nell' Europa dell' est. Dibattito sulla gestione dell' immigrazione da parte dell' Unione Europea.,"Zucchini lancia servizio. Repertorio, soccorso a migranti in mare. Soccorritori della Mezzaluna Rossa trasportano cadaveri in teli neri. Croazia, immigrati accampati, camminano in esterni.",T15298/105,,,
15,Tg1 edizione 13 30,Attesa per il vertice di Parigi sull' immigrazione,RAI UNO,27/08/2017,00:01:48:10,"Dichiarazioni del cancelliere federale tedesco Angela Merkel riguardo la politica Europea di accoglienza dei migranti alla vigilia del vertice sull' immigrazione di Parigi che si svolgerà il 28 agosto 2017 cui parteciperanno i capi di governo di Italia, Francia, Germania e Spagna. Proposte che saranno portate dal presidente del Consiglio italiano Paolo Gentiloni al vertice.","Frittella lancia servizio. 26 agosto 2017. Roma, Lazio, Italia. Ministro dell' Interno Marco Minniti partecipa a riunione. Dettaglio articoli di giornali su internet. 12 luglio 2017. Trieste, Friuli Venezia Giulia, Italia. Conferenza stampa congiunta del cancelliere federale della Germania Angela Merkel, del presidente del Consiglio italiano Paolo Gentiloni e del presidente francese Emmanuel Macron a margine del IV Vertice dei Balcani Occidentali. Repertorio. Parigi, Francia. Interni palazzo Eliseo, Macron scende le scale. Tripoli, Libia. Traffico scorre, soldati presidiano strade. Conferenza stampa del presidente libico Fayez al-Sarraj. Località varie. Momenti operazioni di soccorso a migranti in mare. Italia. Conferenza stampa di Gentiloni. Madrid, Spagna. Primo ministro spagnolo Mariano Rajoy tiene conferenza stampa.",T17239/105,,,
562,Tg1 edizione 13 30,POLITICA ITALIANA - GOVERNO ITALIANO - PRESIDENZA DELLA REPUBBLICA ITALIANA,RAI UNO,2013-01-10 00:00:00,00:01:46:02,"Vertice al Quirinale. Incontro tra il presidente del Consiglio Letta e il presidente della Repubblica Napolitano in vista del dibattito in Parlamento sulla fiducia al governo che si terrà il 2 ottobre 2013. Sostegno alla prosecuzione dell'azione di governo da parte di Confindustria, sindacati e istituzioni internazionali.. Preoccupazioni per le ripercussioni negative sull'economia italiana derivanti da un'eventuale crisi di governo.","Vertice al Quirinale. Interni studio Tg1, Anzaldo parla seduta dietro scrivania, vidiwall alle spalle. Settembre 2013. Roma, Lazio, Italia. Presidente del Consiglio Enrico Letta scende da auto, saluta collaboratori e tiene conferenza stampa con il Presidente della Repubblica Giorgio Napolitano. Letta, in momenti separati, cammina scortato e tiene discorso in Senato. Repertorio sul presidente del Parlamento Europeo Martin Schulz.",T13274/105,,,
31,Tg1 edizione 13 30,"Ocse, Pil Italia -1,8%",RAI UNO,2013-03-09 00:00:00,00:02:07:24,Le previsioni negative dell' organizzazione OCSE sull' andamento del Prodotto Interno Lordo ( PIL ) italiano.,"Frittella lancia servizio. 3 Settembre 2013. Italia, intervista al segretario generale sindacato Cisl Bonanni. Repertorio, interni industrie, operai utilizzano macchinari. Parigi, Francia, esterni sede organizzazione OCSE. Inseriti cartelli grafici su stime OCSE del Prodotto Interno Lordo ( PIL ) italiano e degli altri Paesi europei.",T13246/105,Servizio non trovato ,,
644,Tg1 edizione 13 30,"POLITICA ITALIANA - IMMIGRAZIONE - LEGGI, DECRETI E ATTI NORMATIVI",RAI UNO,2013-03-10 00:00:00,00:01:36:11,"La politica sulla tragedia degli immigrati. Commenti politici sul naufragio di un’imbarcazione con cinquecento immigrati clandestini extracomunitari avvenuto presso l'isola dei Conigli, Lampedusa, Sicilia, Italia a causa di un incendio divampato a bordo che ha causato centinaia di morti e numerosi dispersi. Ministro dell'Interno Alfano si recherà a Lampedusa per dirigere le azioni di assistenza e soccorso.","La politica sulla tragedia degli immigrati. Interni studio Tg1, Anzaldo parla seduta dietro scrivania, vidiwall alle spalle. 3 ottobre 2013. Roma, Lazio, Italia. Presidente del Consiglio Enrico Letta, Ministro dell'Interno Angelino Alfano e leader del movimento Popolo della Libertà (PDL) Silvio Berlusconi in momenti separati camminano con collaboratori. Presidente della Camera Laura Boldrini tiene discorso. Interviste separate a presidente dei deputati del gruppo parlamentare Partito Democratico (PD) alla Camera Roberto Speranza e alla senatrice del PD Anna Finocchiaro. Leader dell' Unione di Centro (UDC) Pier Ferdinando Casini tiene discorso durante una seduta del Senato. Messaggio del presidente del Consiglio Enrico Letta sul sito internet ""Twitter"".Repertorio sulla sede del Parlamento europeo.",T13276/105,Servizio non trovato ,,
105,Tg1 edizione 13 30,Manovra riduce pressione fiscale.,RAI UNO,2013-03-11 00:00:00,00:01:55:00,Previsioni del governo in merito alla riduzione della pressione fiscale in Italia a seguito dell'approvazione della Legge di Stabilità 2014.,"Interni studio Tg1, Anzaldo parla seduta dietro scrivania. Repertorio. Roma, Lazio, Italia. Gente cammina per strada. Esterni palazzo sede Ministero del Tesoro. Bruxelles, Belgio. Esterni palazzo sede Commissione Europea. Cartelli grafici sulle previsioni del governo in merito alla riduzione della pressione fiscale in Italia.",T13307/105,Servizio non trovato ,,
194,Tg1 edizione 13 30,ECONOMIA E FINANZA - UNIONE EUROPEA,RAI UNO,2013-03-12 00:00:00,00:00:59:15,"Rehn: Italia non rispetta obiettivi. Il commissario Europeo per gli Affari economici e monetari Olli Ilmari Rehn è scettico sulla ripresa economica dell' Italia, al contrario del ministro dell' Economia e Finanza Saccomanni che si ritiene ottimista.","Rehn: Italia non rispetta obiettivi. 03 Dicembre 2013. Pagina giornale riporta intervista al commissario Europeo per gli Affari economici e monetari Olli Ilmari Rehn. Stati Uniti d' America, ministro Economia e Finanza Fabrizio Saccomanni rilascia intervista in uno studio tv. Repertorio. Italia. Presidente della confederazione Confindustria Giorgio Squinzi rilascia intervista. Interni industria, operai utilizzano macchinari.",T13337/105,Servizio non trovato ,,
623,Tg1 edizione 13 30,STATI ESTERI - IMMIGRAZIONE - UNIONE EUROPEA,RAI UNO,2013-04-10 00:00:00,00:01:43:24,"L'Unione EUROPEA e l'immigrazione. Commissario europeo Affari Interni esprime cordoglio per gli immigranti clandestini morti nel naufragio della loro imbarcazione avvenuto il 3 ottobre 2013 a Lampedusa, Agrigento, Sicilia, Italia e dichiara che richiederà all'Europa il massimo supporto all'Italia per fronteggiare l'emergenza immigrazione clandestina. L'Unione Africana chiede intervento della comunità internazionale per affrontare il problema dell'immigrazione.","L'Unione EUROPEA e l'immigrazione. Interni studio Tg1, Anzaldo parla seduta dietro scrivania, vidiwall alle spalle. 4 Ottobre 2013. New York, Stati Uniti d'America. Botteri intervista Commissario europeo Affari Interni Malmström e rappresentante dell'Unione Africana Kaloko. Repertorio. Forze dell'ordine assistono migranti. Migranti in centri di prima accoglienza.",T13277/105,Servizio non trovato ,,
169,Tg1 edizione 13 30,"""Assad consegni le armi chimiche""",RAI UNO,2013-09-09 00:00:00,00:01:41:17,Prosegue la missione diplomatica in Europa del segretario di Stato USA per cercare di evitare l' intervento militare in Siria in seguito all' utilizzo di armi chimiche da parte del regime del presidente Bashar al-Assad durante la guerra civile in corso nel paese.,"Anzaldo lancia servizio. 9 settembre 2013. Londra, Gran Bretagna, conferenza stampa congiunta del segretario di Stato USA John Kerry e del ministro degli Esteri britannico William Hague. Tura parla in esterni. Washington, USA, esterni interni Casa Bianca, presidente USA Barack Obama tiene conferenza stampa. Repertorio, intervista al presidente siriano Bashar al-Assad.",T13252/105,Servizio non trovato ,,
336,Tg1 edizione 13 30,Astronauta italiano Parmitano torna da un viaggio di sei mesi nello spazio,RAI UNO,2013-09-12 00:00:00,00:01:30:03,"Rientrato in Italia dopo sei mesi nello spazio l'astronauta Parmitano, ricevuto dal presidente della Repubblica.","Grimaldi lancia servizio. 9 dicembre 2013. Roma, Lazio, Italia. Astronauta Agenzia Spaziale Europea (Esa) Parmitano rilascia intervista, incontra il presidente della Repubblica Giorgio Napolitano e tiene discorso da palco. Fotografie e Repertorio su Parmitano all'interno della Stazione Spaziale Internazionale ISS.",T13343/105,Servizio non trovato ,,
331,Tg1 edizione 13 30,La precisazione di Berlino,RAI UNO,2014-01-09 00:00:00,00:01:47:00,"Smentite le rivelazioni del settimanale tedesco Der Spiegel in merito ad una telefonata del cancelliere tedesco , al presidente della Banca Centrale Europea (BCE), Draghi, per sincerarsi della continuazione delle politiche di austerità dopo le dichiarazioni sulle misure per rilanciare l'economia rilasciate da Draghi durante la riunione dei banchieri centrali a Jackson Hole negli USA.","Grimaldi lancia servizio. 1 settembre 2014. Germania. Portavoce cancelliere federale della Germania Angela Merkel Steffen Seibert in conferenza stampa. Repertorio. Fotografia Presidente francese Francois Hollande su rivista tedesca Der Spiegel, copertina e dettaglio articolo sulla rivista tedesca. Operai a lavoro in stabilimento automobilistico. Francia, Hollande in esterni.",T13343/105,Servizio non trovato ,,
298,Tg1 edizione 13 30,"Def, Padoan: quadro peggiorato",RAI UNO,2014-01-10 00:00:00,00:01:55:00,Dichiarazioni del ministro dell'Economia sul peggioramento della situazione economica italiana in occasione della presentazione del Documento di Economia e Finanza (DEF).,"Anzaldo lancia servizio. 1 ottobre 2014. Roma, Lazio, Italia, interni palazzo Chigi. ministro Economia e Finanze Padoan tiene conferenza stampa. Bruxelles, Belgio, esterni e interni Commissione Europea. Repertorio, persone passeggiano in strada; operai lavorano in interni fabbriche. Cartelli grafici sulle nuove previsioni economiche del Governo.",T14274/105,Servizio non trovato ,,
484,Tg1 edizione 13 30,Vaccino antinfluenzale: nuovo caso di morte,RAI UNO,2014-01-12 00:00:00,00:01:23:00,"Bologna, Emilia Romagna, Italia, nuovo caso di morte sospetta riconducibile alla somministrazione di un vaccino antinfluenzale non della casa farmaceutica ""Novartis"", del quale sono stati ritirati dal commercio due lotti. Rassicurazioni da parte del ministro della Salute sulle vaccinazioni antinfluenzali","Frittella lancia servizio. 1 dicembre 2014. Bruxelles, Belgio, consiglio europeo dei ministri della Salute, ministro della Salute italiano Lorenzin cammina, firma documenti e rilascia intervista. Repertorio, Bologna, Emilia Romagna, Italia, interni ospedale, medici a lavoro, dettaglio fiale di vaccino antinfluenzale, ricercatori in laboratorio, medici effettuano vaccinazioni su pazienti. Commissario straordinario dell' Istituto Superiore di Sanità Walter Ricciardi rilascia intervista.",T14335/105,Servizio non trovato ,,
151,Tg1 edizione 13 30,"Primarie FI, ancora tensioni",RAI UNO,2014-02-06 00:00:00,00:01:31:03,Tensioni interne al Movimento 5 Stelle (M5S) e al partito Forza Italia (FI) sui risultati delle lezioni europee del 25 maggio 2014. Attacco del leader del M5S al sindaco di Parma Federico Pizzarotti e eventuale collaborazione tra il M5S e il partito britannico euroscettico UKIP. Volontà del partito FI di presentare una proposta di centrodestra alternativa alla sinistra al governo.,"Nalesso lancia servizio. 2 giugno 2014. Italia, interviste separate a deputati partito Forza Italia (FI) Raffaele Fitto e Baldelli, deputato del Movimento 5 Stelle (M5S) Turco. Repertorio, leader del M5S Beppe Grillo cammina in mezzo a giornalisti. Dettaglio pagine del blog di Grillo e articoli di giornale anche su web.",T14335/105,Servizio non trovato ,,
377,Tg1 edizione 13 30,Renzi a Strasburgo,RAI UNO,2014-02-07 00:00:00,00:02:41:18,"Attesa per l'intervento del Presidente del Consiglio italiano Matteo Renzi, al Parlamento europeo, in occasione dell'inizio del semestre di presidenza italiana dell'Ue, in cui esprimerà gli obiettivi politico economici che l'Italia intende raggiungere e la visione italiana dell'Europa.","Nalesso lancia collegamento. 2 luglio 2014. Strasburgo, Francia, Chinzari parla in primo piano. Interni ed esterni sede parlamento europeo, Presidente del Consiglio Matteo Renzi parla con europarlamentari. Repertorio. Roma, Lazio, Italia, Palazzo Montecitorio, Renzi tiene discorso.",T14183/105,Servizio non trovato ,,
625,Tg1 edizione 13 30,Draghi e il vertice BCE,RAI UNO,2014-02-10 00:00:00,00:01:59:00,"Le misure proposte dal direttivo della Banca Centrale EUROPEA (BCE) per rilanciare la ripresa economica dei paesi membri dell' Unione EUROPEA e le posizioni del cancelliere federale della Germania, del ministro delle Finanze francese e dell' ex ministro dell' Economia e delle Finanze francese, designato commissario europeo agli Affari economici, sulla situazione economica degli stati membri dell' Unione EUROPEA (UE), in particolare dell' Italia e della Francia, in relazione agli impegni presi per mantenere il rapporto deficit PIL sotto il 3 per cento.","Anzaldo lancia servizio. 1- 2 ottobre 2014. Napoli, Campania, Italia, presidente Banca Centrale EUROPEA (BCE) Mario Draghi saluta membri del direttivo della BCE e tiene discorso. Bruxelles, Belgio, ministro delle Finanze francese Michel Sapin tiene discorso. Strasburgo, Francia, intervento dell' ex ministro dell' Economia e delle Finanze francese, designato commissario europeo agli Affari economici Pierre Moscovici al Parlamento europeo. Repertorio. Berlino, Germania, cancelliere federale della Germania Angela Merkel tiene discorso.",T14275/105,Servizio non trovato ,,
469,Tg1 edizione 13 30,Maxi multa sui rifiuti,RAI UNO,2014-02-12 00:00:00,00:01:39:00,Multa dell'importo di quaranta milioni di euro comminata dalla Corte di Giustizia dell'Unione Europea allo Stato Italiano per il mancato rispetto della Normativa Europea sulla gestione dei rifiuti e delle discariche,"Frittella lancia servizio. Repertorio: Italia, Campo lungo discariche. Cartello grafico sulla condanna dell'EU sui rifiuti. Interni stabilimento per il riciclaggio dei rifiuti. Cartelli grafici sulla multa dell'importo di quaranta milioni di euro comminata dalla Corte di Giustizia dell'Unione Europea allo Stato Italiano per il mancato rispetto della Normativa Europea sulla gestione dei rifiuti e delle discariche",T14336/105,Servizio non trovato ,,
413,Tg1 edizione 13 30,Diplomazia al lavoro,RAI UNO,2014-03-03 00:00:00,00:01:32:02,Le strategie messe in atto dagli USA e paesi Unione Europea per far fronte allo stanziamento di militari russi in Crimea e arrestare l'azione militare russa.,"Zucchini lancia servizio. 2014. Repertorio, presidente Usa Barack Obama tiene discorso nella Casa Bianca; presidente della Commissione Europea José Manuel Durão Barroso tiene discorso durante Conferenza di Berlino 2014 .Intervento di Segretario di Stato Usa John Kerry. Bruxelles, Belgio, intervista al Ministro Affari Esteri Mogherini.",T14062/105,Servizio non trovato ,,
199,Tg1 edizione 13 30,Verso le tregua,RAI UNO,2014-03-09 00:00:00,00:01:32:00,"Telefonata tra il presidente della Russia e il presidente dell' Ucraina in cui avrebbero raggiunto un accordo per favorire una tregua nell' Ucraina orientale, teatro di scontri armati tra esercito ucraino e separatisti filorussi; l' Unione Europea studia nuove sanzioni contro la Russia.","Grimaldi lancia servizio. 3 settembre 2014. Ucraina, relitti di auto e pullman bruciati; auto in transito; soldati camminano in esterni. Repertorio, incontro tra presidente russo Vladimir Putin e il presidente ucraino Pedro Poroshenko. Presidente USA Barack Obama saluta bambini.",T14246/105,Servizio non trovato ,,
198,Tg1 edizione 13 30,Putin: quello di Kiev è un golpe,RAI UNO,2014-04-03 00:00:00,00:02:01:00,Conferenza stampa del presidente della Russia sulla crisi ucraina in cui difende il presidente dell' Ucraina deposto Viktor Yanukovich e condanna le azioni dei manifestanti europeisti a Kiev. Posizioni di USA e Unione Europea in merito.,"Zucchini lancia servizio. 4 marzo 2014. Russia, presidente della Russia Vladimir Putin parla in conferenza stampa. Marzo 2014. Russia, Putin assiste ad esercitazioni militari. 3 marzo 2014. Bruxelles, Belgio, riunione ministri degli Esteri dell' Unione Europea. Ucraina, segretario di Stato degli USA John Kerry in aeroporto. Repertorio, presidente degli USA Barack Obama parla in primo piano.",T14063/105,Servizio non trovato ,,
299,Tg1 edizione 13 30,Al lavoro sul DEF,RAI UNO,2014-04-04 00:00:00,00:01:08:00,Calo dello spread dopo l' annuncio del presidente della Banca Centrale Europea (BCE) del possibile acquisto di titoli finanziari per combattere la stagnazione dell' economia. Descrizione Documento di Economia e Finanza (DEF) e provvedimenti di legge per sbloccare il taglio dell' imposta Irpef e gli 80 euro in busta paga ai lavoratori che guadagnano meno di 1500 euro mensili.,"3 aprile 2014. Francoforte, Germania, conferenza stampa del Presidente della Banca Centrale Europea (BCE) Mario Draghi. Draghi cammina insieme a collaboratori. Addetti controllano andamento spread e titoli azionari su monitor. Roma, Lazio, Italia, campi lunghi palazzo Chigi. Cartelli grafici sul Documento di Economia e Finanza (DEF). Repertorio, operai lavorano in fabbrica.",T14094/105,Servizio non trovato ,,
171,Tg1 edizione 13 30,Scontro Italia Germania,RAI UNO,2014-04-07 00:00:00,00:02:06:06,Dichiarazioni del presidente della Bundesbank in merito alle critiche ricevute da parte dell' Italia. Analisi dei dati pubblicati dall' Istat secondo i quali crescono i consumi delle famiglie italiane anche se diminuisce il loro potere di acquisto.,"Nalesso lancia servizio. 4 luglio 2014. Germania, presidente della Bundesbank Jens Weidmann parla in primo piano, consulta documenti in auto e scende da auto, cancelliere federale della Germania Angela Merkel saluta persone. Roma, Lazio, Italia, esterni Palazzo Montecitorio. Intervista al ministro dell'Economia e Finanze Padoan. Repertorio, persone camminano per strada, mani aprono cassa e prendono soldi, dettagli banconote. Cartelli grafici su dati Istat.",T14185/105,Servizio non trovato ,,
375,Tg1 edizione 13 30,BCE su deflazione e cresita economica,RAI UNO,2014-04-09 00:00:00,00:01:31:14,Riunione del direttivo della Banca Centrale Europea (BCE) per definire le misure da assumere contro la deflazione e a sostegno della crescita e della occupazione in Europa.,"Grimaldi lancia servizio. Repertorio. Località varie. Presidente BCE Mario Draghi parla con presidente della banca centrale USA Federal Reserve, Janet Yellen in occasione del vertice dei presidenti delle banche centrale svoltosi a Jackson Hole, Usa. Consulenti finanziari lavorano al computer. Dettagli articoli di giornale.",T14247/105,Servizio non trovato ,,
