Documento,Titolo programma,Titolo sequenza/servizio,Canale Trasmissione,Data Trasmissione,Durata,Contenuto Audio,Contenuto Video,ID Notice,Note,Time Start,Time Stop
305,Tg1 edizione 13 30,L' agenda politica di Matteo Renzi,RAI UNO,27/08/2014,00:01:33:18,Il Presidente del Consiglio impegnato sulle riforme e sul decreto Sblocca Italia per la crescita del Paese. Il Ministro degli Affari esteri italiano sempre più vicino alla nomina di alto rappresentante per la politica estera dell' Unione Europea ( UE ).,"Nalesso annuncia servizio. Repertorio. Italia, Presidente del Consiglio Matteo Renzi tiene intervento in Parlamento, cammina in strada, tiene conferenza stampa. Ministro della Giustizia Andrea Orlando sfoglia documenti. Bruxelles, Belgio, ministro Affari esteri Federica Mogherini cammina in interni.",T14239/105,"Non ci sono immagini di repertorio, interviste ",,
483,Tg1 edizione 13 30,Atteso l' incontro tra Alfano e Malmstrom,RAI UNO,27/08/2014,00:01:12:21,"Atteso l' incontro a Bruxelles, Belgio tra il ministro dell' Interno italiano e il Commissario dell' Unione Europea ( UE ) agli Affari Interni Cecilia Malmstrom per discutere su un piano di collaborazione tra Italia ed UE per fronteggiare il fenomeno dell' immigrazione clandestina in Italia.","27 Agosto 2014. Bruxelles, Belgio. Interni sede Commissione Europea, conferenza stampa del portavoce del Commissario Ue agli Affari Interni Cecilia Malmstrom, Michele Cercone. Paterniti parla in strada. Ministro dell' Interno Angelino Alfano cammina in interni. Repertorio, Località varie, fasi soccorso immigrati su imbarcazione in avaria. Navi della Marina Militare Italiana pattugliano tratto di mare.",T14239/105,"Non ci sono immagini di repertorio, interviste ",,
80,Tg1 edizione 13 30,No embrioni per la ricerca,RAI UNO,27/08/2015,00:01:06:24,"Sentenza definitiva della Corte europea dei diritti umani vieta alla vedova di Stefano Rolla, Adele Parrillo, rimasto ucciso nell'attentato di Nassiriya, di donare i propri embrioni congelati ai fini della ricerca scientifica, pratica vietata dalla legge 40/2004 sulla procreazione medicalmente assistita che vige in Italia.","Nalesso lancia servizio. Repertorio, ricercatori al lavoro in laboratori medici; dettaglio cellule al microscopio.",T15239/105,"Non ci sono immagini di repertorio, interviste ",,
636,Tg1 edizione 13 30,Truffa Volkswagen,RAI UNO,27/09/2015,00:01:40:02,Aggiornamenti all’inchiesta sulla truffa organizzata dall'azienda automobilistica Volkswagen per superare i controlli sulle emissioni dei gas di scarico di alcuni modelli di auto commercializzate negli USA. Germania chiede che i test su emissioni nocive richiesti dall' Unione EUROPEA siano rinviati al 2021.,"Zucchini lancia servizio. 27 settembre 2015. Località varie. Dettagli articoli di giornale tedeschi su truffa Volkswagen. Repertorio. Dettaglio tubo di scarico auto e componenti motore di auto Volkswagen; addetti effettuano test su auto. Cancelliere federale della Germania Angela Merkel e presidente della Francia François Hollande parlano mentre camminano in corridoio. Interni industrie automobilistiche, tra cui Volkswagen, operai a lavoro. Esterni e interni concessionario Volkswagen, persone osservano auto in esposizione. Campo lungo strade, auto Volkswagen in movimento.",T15270/105,"Non ci sono immagini di repertorio, interviste ",,
595,Tg1 edizione 13 30,Risposta di Padoan alla lettera della Commissione Europea,RAI UNO,27/10/2014,00:02:28:00,Risposta del ministro dell’Economia e Finanze alla lettera inviata dal Commissario Europeo per gli affari economici e monetari dell' Unione Europea (UE) per chiedere chiarimenti in merito alla Legge di stabilità.,"Grimaldi lancia servizio. 27 ottobre 2014 Dettaglio richiesta di chiarimenti avanzata dalla Commissione Europea sulla Legge di Stabilità. Ottobre 2014. Bruxelles, Belgio, Commissario Europeo per gli affari economici e monetari,Jyrki Katainen tiene conferenza stampa. Roma, Lazio, Italia, ministro dell’Economia e Finanze italiano Pier Carlo Padoan parla seduto anche in primo piano. Repertorio, rotative stampano banconote di valuta Euro. Strasburgo, Francia, esterni della sede del Parlamento Europeo. Cartelli grafici inerenti il contenuto della lettera di Padoan all' Unione Europea (UE).",T14300/105,"Non ci sono immagini di repertorio, interviste ",,
665,Tg1 edizione 13 30,Stress test della BCE,RAI UNO,27/10/2014,00:01:54:00,Calo delle azioni di Borsa delle banche Monte dei Paschi di Siena (MPS) e Carige dopo il mancato superamento del programma di valutazione del capitale di vigilanza (stress test) effettuati dalla Banca Centrale EUROPEA (BCE) sulle principali banche europee. Replica della Banca d' Italia alla BCE per sottolineare che l' Italia è il paese che meno ha usufruito degli aiuti economici a sostegno delle banche all' interno dell' Unione EUROPEA (UE).,"Grimaldi lancia servizio. Repertorio: Roma, Lazio, Italia, esterni palazzo Koch, sede Banca d' Italia. Genova, Liguria, Italia, esterni sede della banca Carige. Siena, Toscana, Italia, esterni sede della banca Monte dei Paschi di Siena (MPS). Francoforte, Germania, esterni palazzo della sede della Banca Centrale EUROPEA (BCE). Operatori di borsa lavorano a videoterminali con quotazioni e valori di Borsa sui monitor; dettagli di macchina conta soldi in funzione. Cartelli grafici inerenti i risultati degli ""stress test"" sulle banche Monte dei Paschi di Siena (MPS) e Carige.",T14300/105,"Non ci sono immagini di repertorio, interviste ",,
12,Tg1 edizione 13 30,"Migranti, si a flessibilità",RAI UNO,27/10/2015,00:01:34:00,Seduta del Parlamento europeo sull'emergenza immigrazione.,"Anzaldo lancia servizio. 27 ottobre 2015. Strasburgo, Francia. Interni sede Unione europea, seduta del Parlamento europeo, interventi del presidente della Commissione europea Jean-Claude Juncker e del presidente del Consiglio europeo Donald Tusk. Repertorio. Località varie. Riprese anche aeree, migranti camminano in strada e in sentieri campestri.",T15300/105,"Non ci sono immagini di repertorio, interviste ",,
333,Tg1 edizione 13 30,"Marò, Europa in campo",RAI UNO,27/12/2014,00:01:14:08,L' Unione Europea minaccia ripercussioni sui trattati bilaterali con l' India per i ritardi nella soluzione della vicenda tra Italia e India legata al trattenimento in India dei Fucilieri della Marina Militare italiana Salvatore Girone e Massimiliano Latorre accusati dell' uccisione di due pescatori indiani scambiati per pirati.,"Grimaldi lancia servizio. 27 dicembre 2014. Bruxelles, Belgio, alto rappresentante dell'Unione Europea per gli Affari esteri e la Politica di sicurezza (PESC) Federica Mogherini scende da auto. India, militari in esterni. Conferenza stampa del portavoce del ministero degli Esteri indiano Syed Akbaruddin. Repertorio:.fucilieri della Marina Militare italiana Salvatore Girone e Massimiliano Latorre camminano in interni ed esterni.",T14361/105,"Non ci sono immagini di repertorio, interviste ",,
507,Tg1 edizione 13 30,Rapporto Eurispes,RAI UNO,28/01/2016,00:01:33:00,Contenuti del Rapporto Italia 2016 del centro studi di statistiche Europeo Eurispes; migliora la fiducia degli italiani nell' economia e nelle forze dell' ordine; crescono le esportazioni dell' Italia verso le economi emergenti estere; aumentano i reati tributari.,"Frittella lancia servizio. 28 gennaio 2016. Roma, Lazio, Italia, intervista a presidente di centro studi di statistiche Europeo Eurispes Fara. Repertorio. Persone camminano in strada; interni di un centro commerciale con persone che scendono da scala mobile; interni di un mercato rionale; dettagli di pesci in un banco del pesce; interni dell' aula della Camera dei Deputati deserta; Presidente della Repubblica Sergio Mattarella tiene intervento; campo lungo di piazza Montecitorio; Carabinieri scendono da auto; auto della Polizia di Stato viaggia in strada urbana; agenti della Guardia di Finanza eseguono ispezione su documenti fiscali.",T16028/105,"Non ci sono immagini di repertorio, interviste ",,
564,Tg1 edizione 13 30,UE su immigrazione,RAI UNO,28/01/2016,00:01:48:00,"Naufragio di barcone carico di immigrati nel Mare Egeo, ventiquattro vittime accertate. Annunciate dal governo svedese circa ottantamila espulsioni di immigrati extracomunitari senza diritto di asilo. Critiche della Commissione Europea alla sospensione degli accordi di Schengen annunciata da alcuni Paesi dell'Unione Europea.","Frittella lancia servizio. Gennaio 2016. Bruxelles, Belgio. Riunione della Commissione Europea. Stoccolma, Svezia, campo lungo dei monumenti; ministro degli Interni svedese Anders Ygeman tiene conferenza stampa. Londra, Gran Bretagna, primo ministro della Gran Bretagna David Cameron tiene discorso alla Camera dei Comuni. Confine tra Macedonia e Grecia. Agenti di polizia camminano all' interno di centro profughi; campo lungo di tendopoli di immigrati. Repertorio. Località varie. Migranti a bordo di barcone alla deriva in alto mare; immigrati avvinghiati ad ormeggi di una nave; esterni notte, fasi di sbarco di immigrati in porto con personale medico che carica feriti in ambulanza.",T16028/105,"Non ci sono immagini di repertorio, interviste ",,
